GUID f13ba5cc7cfe4d8a8c3176e32d3d200e

Type Generator
Rarity Rare
Useable Barricade
Has_Clip_Prefab false
Build Generator
ID 36363

Size_X 2
Size_Y 2

Health 200
Range 4
Radius 0.5
Offset 0.75

Capacity 2000
Wirerange 16
Burn 20

Explosion 36

Blueprints 2
Blueprint_0_Type Utilities
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 36011
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 36077
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Blueprint_1_Type Utilities
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 36011
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Supply_1_ID 36087
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Level 1
Blueprint_1_Skill Craft
Blueprint_1_Build 27

PlacementAudioClip core.masterbundle:Sounds/MetalPlacement.mp3

Actions 3
Action_0_Type Blueprint
Action_0_Source 36364
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text ▲Upgrade
Action_0_Tooltip ▲Combine with other generators

Action_1_Type Blueprint
Action_1_Source 36406
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 0
Action_1_Text ▲Craft Sentry
Action_1_Tooltip ▲Create a sentry for base defence

Action_2_Type Blueprint
Action_2_Source 36535
Action_2_Blueprints 1
Action_2_Blueprint_0_Index 0
Action_2_Text ▲Craft Horde Beacon
Action_2_Tooltip ▲Create a horde beacon
