GUID 9b6af47ccaf341f6b2b171e98e0d737f

Type Storage
Rarity Epic
Useable Barricade
Has_Clip_Prefab false
Build Storage_Wall
ID 36494

Health 75
Range 4
Offset 0.125

Storage_X 5
Storage_Y 2
Display

Locked
Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 36355
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 36084
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_1_Critical
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Should_Close_When_Outside_Range true
PlacementAudioClip core.masterbundle:Sounds/MetalPlacement.mp3
