GUID 48463e7a86084abbb93e453be2cadc93

Type Oil_Pump
Rarity Rare
Useable Barricade
Build Oil
ID 36593

Size_X 2
Size_Y 2
Size_Z 1.1

Health 600
Range 4
Radius 0.5
Offset 0.75

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 36011
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 36363
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 36009
Blueprint_0_Supply_2_Amount 2
Blueprint_0_Tool 36090
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Fuel_Capacity 2500

PlacementAudioClip core.masterbundle:Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
