GUID bfebeaf9e1f642d7a2b99c25a7aa3942

Type Barricade
Useable Barricade
Has_Clip_Prefab false
Build Barricade
Rarity Uncommon
ID 36088



Size_Z 0.325
Use_Auto_Icon_Measurements False

Health 50
Range 4
Radius 0.1
Offset 0.125
Explosion 36
Vulnerable
Salvage_Duration_Multiplier 0.1
Bypass_Pickup_Ownership True
PlacementAudioClip core.masterbundle:Sounds/WoodenPlacement.mp3

Blueprints 2
Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 36045
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 32

Blueprint_1_Type Gear
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 36088
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36045
Blueprint_1_Output_0_Amount 4
Blueprint_1_Build 32

Actions 1
Action_0_Type Blueprint
Action_0_Source 36088
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text ▼Decompress
Action_0_Tooltip ▼Turn rope into 4 cloth
