GUID 539321aa54bf4aa0a44307cbaf999fee

Type Food
Useable Consumeable
ID 36067




Food 40
Water 20

Blueprints 1
Blueprint_0_Type Supply
Blueprint_0_Supply_0_ID 36066
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_0_Level 1
Blueprint_0_Skill Cook

Blueprint_0_Rewards 1
Blueprint_0_Reward_0_Type Flag_Short
Blueprint_0_Reward_0_ID 36146
Blueprint_0_Reward_0_Value 1
Blueprint_0_Reward_0_Modification Increment

ConsumeAudioClip core.masterbundle:Sounds/EatCrunchy.mp3

Actions 1
Action_0_Type Blueprint
Action_0_Source 36082
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text ▲Sandwich
Action_0_Tooltip ▲Combine with a loaf to make a sandwich
