GUID 8c4cf5e621e04db8b88fc4e12640e062

Type Structure
Rarity Rare
Useable Structure
Has_Clip_Prefab false
Construct Wall
ID 36217

Size_X 2


Health 600
Range 8

Explosion 29

Blueprints 2
Blueprint_0_Type Structure
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 36016
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Build 27

Blueprint_1_Type Structure
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 36243
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36217
Blueprint_1_Output_0_Amount 1
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 36243
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text ▼Craft Rampart
Action_0_Tooltip ▼Turn a wall into 3 ramparts

PlacementAudioClip core.masterbundle:Sounds/WoodenPlacement.mp3
