GUID 019abe5b003d410f99ac926ac57f642a

Type Medium
Has_Clip_Prefab false
ID 36000

Interactability Quest
Interactability_Rewards 2
Interactability_Reward_0_Type Teleport
Interactability_Reward_0_Spawnpoint Infected_0_1
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 36050
Interactability_Reward_1_Value True

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 36051
Condition_0_Value True
Condition_0_Logic Equal

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Infected_Door_00
