GUID 315eb99e3da646909ebd8d548ac59430

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 36399
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Interactability Quest
Interactability_Rewards 3
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 36399
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Item
Interactability_Reward_1_ID 36039
Interactability_Reward_1_Amount 1
Interactability_Reward_1_Auto_Equip True

Interactability_Reward_2_Type Hint
Interactability_Reward_2_Text The ground up ahead looks soft.
Interactability_Reward_2_Duration 5
