GUID 75abab02b0314d04b74026c0fd6d42a2

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 36021
Condition_0_Value True
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 3
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 36021
Interactability_Reward_0_Value False
Interactability_Reward_1_Type Item
Interactability_Reward_1_ID 36092
Interactability_Reward_1_Amount 1
Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 36212
Interactability_Reward_2_Value 1
Interactability_Reward_2_Modification Increment
