GUID 5199aa3c7284462a935149d11cfbd23d

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 36417
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Condition_1_Type Flag_Short
Condition_1_ID 36418
Condition_1_Value 1
Condition_1_Logic Greater_Than_Or_Equal_To

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 36417
Interactability_Reward_0_Value True

Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 36418
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Decrement

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Quest_Box_Off
