GUID ed6cdce931d247c9a3ac3d7d9ae65bd1

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 36345
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset
Condition_1_Type Flag_Bool
Condition_1_ID 36613
Condition_1_Value False
Condition_1_Logic Equal
Condition_1_Allow_Unset

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 4
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 36337
Interactability_Reward_0_Value 5000
Interactability_Reward_0_Modification Decrement
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 36345
Interactability_Reward_1_Value True
Interactability_Reward_2_Type Flag_Bool
Interactability_Reward_2_ID 36347
Interactability_Reward_2_Value True
Interactability_Reward_3_Type Flag_Bool
Interactability_Reward_3_ID 36613
Interactability_Reward_3_Value False
