GUID ea37366b59334db68cbb9b49f7cfb372

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 36422
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Interactability Quest
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 36422
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Item
Interactability_Reward_1_ID 36104
Interactability_Reward_1_Amount 1

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Reward_Currency_Instant
