GUID 5c2f49f056034c7fb60025e47ce5a1ca

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 36621
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Condition_1_Type Flag_Bool
Condition_1_ID 36620
Condition_1_Value True
Condition_1_Logic Equal

Interactability Quest
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 36621
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Item
Interactability_Reward_1_ID 36632
Interactability_Reward_1_Amount 1
