GUID b2cb51a7b1ac44129be309ac17bca7bc

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 3
Condition_0_Type Flag_Short
Condition_0_ID 36096
Condition_0_Value 1
Condition_0_Logic Equal

Condition_1_Type Flag_Bool
Condition_1_ID 36095
Condition_1_Value False
Condition_1_Logic Equal
Condition_1_Allow_Unset

Condition_2_Type Flag_Bool
Condition_2_ID 36099
Condition_2_Value False
Condition_2_Logic Equal
Condition_2_Allow_Unset

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 7

Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 36094
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Increment

Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 36096
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment

Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 36097
Interactability_Reward_2_Value 1
Interactability_Reward_2_Modification Increment

Interactability_Reward_3_Type Flag_Math
Interactability_Reward_3_A_ID 36094
Interactability_Reward_3_B_Value 3
Interactability_Reward_3_Operation Modulo

Interactability_Reward_4_Type Flag_Math
Interactability_Reward_4_A_ID 36096
Interactability_Reward_4_B_Value 3
Interactability_Reward_4_Operation Modulo

Interactability_Reward_5_Type Flag_Math
Interactability_Reward_5_A_ID 36097
Interactability_Reward_5_B_Value 3
Interactability_Reward_5_Operation Modulo

Interactability_Reward_6_Type Flag_Math
Interactability_Reward_6_A_ID 36098
Interactability_Reward_6_B_Value 3
Interactability_Reward_6_Operation Modulo



Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Modulo_1
