GUID 3adb3b6ab06e426ca5c369e7b40fc1e1
Type Spawn
ID 36018

Tables 45
Table_0_Asset_ID 36001
Table_0_Weight 100
Table_1_Asset_ID 36022
Table_1_Weight 100
Table_2_Asset_ID 36031
Table_2_Weight 100
Table_3_Asset_ID 36033
Table_3_Weight 100
Table_4_Asset_ID 36034
Table_4_Weight 100
Table_5_Asset_ID 36035
Table_5_Weight 100
Table_6_Asset_ID 36019
Table_6_Weight 100
Table_7_Asset_ID 36037
Table_7_Weight 100
Table_8_Asset_ID 36039
Table_8_Weight 100
Table_9_Asset_ID 36040
Table_9_Weight 100
Table_10_Asset_ID 36041
Table_10_Weight 100
Table_11_Asset_ID 36042
Table_11_Weight 100
Table_12_Asset_ID 36043
Table_12_Weight 100
Table_13_Asset_ID 36044
Table_13_Weight 100
Table_14_Asset_ID 36048
Table_14_Weight 100
Table_15_Asset_ID 36038
Table_15_Weight 100
Table_16_Asset_ID 36036
Table_16_Weight 100
Table_17_Asset_ID 36017
Table_17_Weight 100
Table_18_Asset_ID 36032
Table_18_Weight 100
Table_19_Asset_ID 36002
Table_19_Weight 100
Table_20_Asset_ID 36003
Table_20_Weight 100
Table_21_Asset_ID 36004
Table_21_Weight 100
Table_22_Asset_ID 36005
Table_22_Weight 100
Table_23_Asset_ID 36006
Table_23_Weight 100
Table_24_Asset_ID 36020
Table_24_Weight 100
Table_25_Asset_ID 36008
Table_25_Weight 100
Table_26_Asset_ID 36009
Table_26_Weight 100
Table_27_Asset_ID 36018
Table_27_Weight 100
Table_28_Asset_ID 36007
Table_28_Weight 100
Table_29_Asset_ID 36012
Table_29_Weight 100
Table_30_Asset_ID 36013
Table_30_Weight 100
Table_31_Asset_ID 36014
Table_31_Weight 100
Table_32_Asset_ID 36015
Table_32_Weight 100
Table_33_Asset_ID 36016
Table_33_Weight 100
Table_34_Asset_ID 36011
Table_34_Weight 100
Table_35_Asset_ID 36010
Table_35_Weight 100
Table_36_Asset_ID 36021
Table_36_Weight 50
Table_37_Asset_ID 36053
Table_37_Weight 25
Table_38_Asset_ID 36028
Table_38_Weight 10
Table_39_Asset_ID 36057
Table_39_Weight 5
Table_40_Asset_ID 36054
Table_40_Weight 5
Table_41_Asset_ID 36055
Table_41_Weight 5
Table_42_Asset_ID 36056
Table_42_Weight 5
Table_43_Asset_ID 36058
Table_43_Weight 5
Table_44_Asset_ID 36029
Table_44_Weight 2
