GUID 63d70797ac094028b995603dd16262d8

Type Storage
Rarity Rare
Useable Barricade
Has_Clip_Prefab false
Build Storage
ID 36492

Size_X 2
Size_Y 3

Health 600
Range 6
Radius 0.8
Offset 1.125
Vulnerable
Storage_X 10
Storage_Y 30

Explosion 29

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 36016
Blueprint_0_Supply_0_Amount 24
Blueprint_0_Supply_1_ID 36284
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 36358
Blueprint_0_Supply_2_Amount 2
Blueprint_0_Build 27

Should_Close_When_Outside_Range true
PlacementAudioClip core.masterbundle:Sounds/WoodenPlacement.mp3
