GUID 0e220ee4bba94273be9dc2d860e2eeda

Type Storage
Rarity Rare
Useable Barricade
Has_Clip_Prefab false
Build Storage
ID 36501

Size_X 2
Size_Y 2

Health 300
Range 4
Radius 0.45
Offset 1.25
Vulnerable
Storage_X 6
Storage_Y 8

Explosion 29

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 36016
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 36084
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Build 27

Should_Close_When_Outside_Range true
PlacementAudioClip core.masterbundle:Sounds/WoodenPlacement.mp3
