GUID c80d32fcfc6043ea96ade985c78de02a

Type Pants
Rarity Rare
Useable Clothing
ID 36055

Size_X 2
Size_Y 2

Armor 0.9

Width 4
Height 3

Actions 4
Action_0_Type Blueprint
Action_0_Source 36156
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 3
Action_0_Text ▲Upgrade
Action_0_Tooltip ▲Upgrade clothing using bevlar

Action_1_Type Blueprint
Action_1_Source 36055
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 0
Action_1_Key Salvage

Action_2_Type Blueprint
Action_2_Source 36055
Action_2_Blueprints 1
Action_2_Blueprint_0_Index 1
Action_2_Key Salvage

Action_3_Type Blueprint
Action_3_Source 36055
Action_3_Blueprints 1
Action_3_Blueprint_0_Index 2
Action_3_Key Repair

Blueprints 3
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 36055
Blueprint_0_Build 32
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36045
Blueprint_0_Output_0_Amount 2

Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Flag_Short
Blueprint_0_Condition_0_ID 36015
Blueprint_0_Condition_0_Value 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_0_Condition_0_Allow_Unset

Blueprint_1_Type Apparel
Blueprint_1_Supply_0_ID 36055
Blueprint_1_Build 32
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36045
Blueprint_1_Output_0_Amount 3

Blueprint_1_Conditions 1
Blueprint_1_Condition_0_Type Flag_Short
Blueprint_1_Condition_0_ID 36015
Blueprint_1_Condition_0_Value 1
Blueprint_1_Condition_0_Logic Equal

Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 36045
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Build 32
