GUID 86900a7a186745e882078633538241a1

Type Supply
Rarity Legendary
ID 36155

Blueprints 2
Blueprint_0_Type Utilities
Blueprint_0_Supply_0_ID 36155
Blueprint_0_Build 27
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36011
Blueprint_0_Output_0_Amount 1

Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Flag_Short
Blueprint_0_Condition_0_ID 36013
Blueprint_0_Condition_0_Value 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_0_Condition_0_Allow_Unset

Blueprint_1_Type Utilities
Blueprint_1_Supply_0_ID 36155
Blueprint_1_Build 27
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36011
Blueprint_1_Output_0_Amount 2

Blueprint_1_Conditions 1
Blueprint_1_Condition_0_Type Flag_Short
Blueprint_1_Condition_0_ID 36013
Blueprint_1_Condition_0_Value 1
Blueprint_1_Condition_0_Logic Equal

Actions 3
Action_0_Type Blueprint
Action_0_Source 36642
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text ▲Compress
Action_0_Tooltip ▲Turn 4 Bevlars into a Large Bevlar Coil

Action_1_Type Blueprint
Action_1_Source 36155
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 0
Action_1_Key Salvage

Action_2_Type Blueprint
Action_2_Source 36155
Action_2_Blueprints 1
Action_2_Blueprint_0_Index 1
Action_2_Key Salvage
