GUID a50e38e770d14798b88c3f0223ebf697

Type Barricade
Useable Barricade
Has_Clip_Prefab false
Build Barricade
Rarity Rare
ID 36085



Size_Z 0.485

Health 50
Range 4
Radius 0.1
Offset 0.2
Explosion 36
Vulnerable
Salvage_Duration_Multiplier 0.1
Bypass_Pickup_Ownership True
PlacementAudioClip core.masterbundle:Sounds/WoodenPlacement.mp3

Blueprints 3
Blueprint_0_Type Supply
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 36084
Blueprint_0_Supply_0_Amount 10
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36085
Blueprint_0_Output_0_Amount 1
Blueprint_0_Build 32
Blueprint_1_Type Supply
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 36085
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36084
Blueprint_1_Output_0_Amount 10
Blueprint_1_Build 32

Blueprint_2_Type Supply
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 36085
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Outputs 1
Blueprint_2_Output_0_ID 36045
Blueprint_2_Output_0_Amount 10
Blueprint_2_Build 32

Actions 1
Action_0_Type Blueprint
Action_0_Source 36085
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text ▼Decompress
Action_0_Tooltip ▼Turn rope into 4 cloth
