GUID 106c901ca8274a748ba870ae4da99363

Type Supply
Rarity Legendary
ID 36403

Size_X 3
Size_Y 2

Actions 3
Action_0_Type Blueprint
Action_0_Source 36400
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text ▲Craft Devastator
Action_0_Tooltip ▲Combine with other parts to craft the Devastator

Action_1_Type Blueprint
Action_1_Source 36403
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 0
Action_1_Key Salvage

Action_2_Type Blueprint
Action_2_Source 36403
Action_2_Blueprints 1
Action_2_Blueprint_0_Index 1
Action_2_Key Salvage

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 36403
Blueprint_0_Build 27
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36011
Blueprint_0_Output_0_Amount 3

Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Flag_Short
Blueprint_0_Condition_0_ID 36011
Blueprint_0_Condition_0_Value 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_0_Condition_0_Allow_Unset

Blueprint_1_Type Tool
Blueprint_1_Supply_0_ID 36403
Blueprint_1_Build 27
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36011
Blueprint_1_Output_0_Amount 4

Blueprint_1_Conditions 1
Blueprint_1_Condition_0_Type Flag_Short
Blueprint_1_Condition_0_ID 36011
Blueprint_1_Condition_0_Value 1
Blueprint_1_Condition_0_Logic Equal
