GUID 1fc347d9086f43c18c20fecdd9c02b39

Type Food
Rarity Uncommon
Useable Consumeable
ID 36079




Energy 100
Food 20
Water 40

Blueprints 1
Blueprint_0_Type Supply
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 36033
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 36022
Blueprint_0_Supply_1_Amount 5
Blueprint_0_Build 27
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36079
Blueprint_0_Output_0_Amount 5
Blueprint_0_Level 1
Blueprint_0_Skill Craft

ConsumeAudioClip core.masterbundle:Sounds/EatCrunchy.mp3
