GUID 87d24c5f6f38445386f01d16abcf570f

Type Hat
Rarity Legendary
Useable Clothing
ID 36219

Size_X 2
Size_Y 2

Armor 0.7
Armor_Explosion 0.45

Beard

Blueprint_0_Supply_0_ID 36219
Blueprint_1_Supply_0_ID 36219

Blueprint_0_Output_0_Amount 2
Blueprint_1_Output_0_Amount 3

Blueprints 4
Blueprint_0_Type Apparel
Blueprint_0_Build 27
Blueprint_0_Outputs 2
Blueprint_0_Output_0_ID 36011
Blueprint_0_Output_1_ID 36155
Blueprint_0_Output_1_Amount 2

Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Flag_Short
Blueprint_0_Condition_0_ID 36013
Blueprint_0_Condition_0_Value 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_0_Condition_0_Allow_Unset

Blueprint_1_Type Apparel
Blueprint_1_Build 27
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 36011
Blueprint_1_Output_1_ID 36155
Blueprint_1_Output_1_Amount 2

Blueprint_1_Conditions 1
Blueprint_1_Condition_0_Type Flag_Short
Blueprint_1_Condition_0_ID 36013
Blueprint_1_Condition_0_Value 1
Blueprint_1_Condition_0_Logic Equal

Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 36011
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Build 32

Blueprint_3_Type Apparel
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 36160
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Build 32
Blueprint_3_State_Transfer

Actions 4
Action_0_Type Blueprint
Action_0_Source 36160
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 4
Action_0_Text ▼Lower Faceshield
Action_0_Tooltip ▼Lower the helmet's faceshield

Action_1_Type Blueprint
Action_1_Source 36219
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 0
Action_1_Key Salvage

Action_2_Type Blueprint
Action_2_Source 36219
Action_2_Blueprints 1
Action_2_Blueprint_0_Index 1
Action_2_Key Salvage

Action_3_Type Blueprint
Action_3_Source 36219
Action_3_Blueprints 1
Action_3_Blueprint_0_Index 2
Action_3_Key Repair
