GUID 14026bf9a1b843848460deb54e5bf826

Type Structure
Rarity Legendary
Useable Structure
Has_Clip_Prefab false
Construct Rampart
ID 36275

Size_X 2


Health 2400
Range 8

Explosion 36

Blueprints 2
Blueprint_0_Type Structure
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 36250
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 36195
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 36090
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Blueprint_1_Type Structure
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 36227
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36275
Blueprint_1_Output_0_Amount 3
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 36227
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text ▲Craft Wall
Action_0_Tooltip ▲Combine 3 ramparts into a wall

PlacementAudioClip Items/Structures_Armored/Frost_Armored_Pillar/Use.wav
