GUID 0a6b6911f6174038a791e555027bd9e6

Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 36570

Quality_Min 100
Quality_Max 100

Size_X 4
Size_Y 2

Magazine 36526

Hook_Sight
Hook_Tactical

Ammo_Min 4
Ammo_Max 4

Safety
Semi
Bursts 2

Caliber 36003

Range 50
Firerate 0
Action Break

Damage_Falloff_Range 0.75
Damage_Falloff_Multiplier 0

Player_Damage 12
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1

Zombie_Damage 28
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.1

Animal_Damage 6
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 12
Resource_Damage 2
Object_Damage 2

Durability 0.1

Spread_Aim 0.7
Spread_Hip 0.3

Ballistic_Steps 1

Recoil_Min_X -7
Recoil_Min_Y 13
Recoil_Max_X 7
Recoil_Max_Y 13

Recover_X 0.1
Recover_Y 0.1

Shake_Min_X 0.01
Shake_Min_Y 0.005
Shake_Min_Z -0.1
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.2

Muzzle 4

Blueprints 3
Blueprint_1_Type Tool
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 36016
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Supply_1_ID 36284
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Build 27
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36570
Blueprint_1_Output_0_Amount 1

Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 36016
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

Blueprint_2_Type Utilities
Blueprint_2_Supply_0_ID 36570
Blueprint_2_Build 27
Blueprint_2_Outputs 1
Blueprint_2_Output_0_ID 36016
Blueprint_2_Output_0_Amount 2
