GUID 94f114916a7c46c391507b2bb5430f85

Type Quest
ID 36386

Conditions 8

Condition_0_Type Flag_Bool
Condition_0_ID 36364
Condition_0_Value True
Condition_0_Logic Equal

Condition_1_Type Flag_Short
Condition_1_ID 36371
Condition_1_Value 2
Condition_1_Logic Greater_Than_Or_Equal_To

Condition_2_Type Kills_Object
Condition_2_ID 36396
Condition_2_Value 1
Condition_2_Object 6ffbb9f3891c4bba9de9c54e75173a6f
Condition_2_Logic Greater_Than_Or_Equal_To

Condition_3_Type Kills_Zombie
Condition_3_ID 36366
Condition_3_Value 1
Condition_3_Zombie Boss_Fire
Condition_3_Spawn
Condition_3_Nav 4

Condition_4_Type Flag_Bool
Condition_4_ID 36379
Condition_4_Value True
Condition_4_Logic Equal

Condition_5_Type Flag_Bool
Condition_5_ID 36381
Condition_5_Value True
Condition_5_Logic Equal

Condition_6_Type Flag_Bool
Condition_6_ID 36398
Condition_6_Value True
Condition_6_Logic Equal

Condition_7_Type Flag_Bool
Condition_7_ID 36457
Condition_7_Value True
Condition_7_Logic Equal


Rewards 6
Reward_0_Type Item
Reward_0_ID 36104
Reward_0_Amount 1

Reward_1_Type Item
Reward_1_ID 36122
Reward_1_Amount 0
Reward_2_Type Flag_Short
Reward_2_ID 36134
Reward_2_Value 1
Reward_2_Modification Increment
Reward_3_Type Flag_Short
Reward_3_ID 36135
Reward_3_Value 0
Reward_3_Modification Assign
Reward_4_Type Flag_Math
Reward_4_A_ID 36135
Reward_4_B_ID 36134
Reward_4_Operation Addition
Reward_5_Type Flag_Math
Reward_5_A_ID 36135
Reward_5_B_Value 4
Reward_5_Operation Modulo
