GUID 2a77059b48da472ab95fa0d61687a4b8

Type Dialogue
ID 36021

Messages 1

Message_0_Pages 1

Responses 19

Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_ID 36029
Response_0_Condition_0_Status None
Response_0_Condition_0_Logic Equal
Response_0_Dialogue 36022
Response_0_Rewards 1
Response_0_Reward_0_Type Flag_Bool
Response_0_Reward_0_ID 36506
Response_0_Reward_0_Value False

Response_4_Conditions 1
Response_4_Condition_0_Type Quest
Response_4_Condition_0_ID 36029
Response_4_Condition_0_Status Active
Response_4_Condition_0_Logic Equal
Response_4_Rewards 1
Response_4_Reward_0_Type Teleport
Response_4_Reward_0_Spawnpoint Expedition_0_0

Response_8_Dialogue 36024
Response_8_Quest 36029
Response_8_Conditions 1
Response_8_Condition_0_Type Quest
Response_8_Condition_0_ID 36029
Response_8_Condition_0_Status Ready
Response_8_Condition_0_Logic Equal
Response_8_Condition_0_Reset

Response_12_Conditions 2
Response_12_Condition_0_Type Quest
Response_12_Condition_0_Allow_Unset
Response_12_Condition_0_ID 36552
Response_12_Condition_0_Status None
Response_12_Condition_0_Logic Equal
Response_12_Condition_1_Type Quest
Response_12_Condition_1_ID 36029
Response_12_Condition_1_Status Completed
Response_12_Condition_1_Logic Equal
Response_12_Dialogue 36383

Response_1_Conditions 2
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Allow_Unset
Response_1_Condition_0_ID 36382
Response_1_Condition_0_Status None
Response_1_Condition_0_Logic Equal
Response_1_Condition_1_Type Quest
Response_1_Condition_1_ID 36552
Response_1_Condition_1_Status Completed
Response_1_Condition_1_Logic Equal
Response_1_Dialogue 36556

Response_5_Conditions 1
Response_5_Condition_0_Type Quest
Response_5_Condition_0_ID 36382
Response_5_Condition_0_Status Active
Response_5_Condition_0_Logic Equal
Response_5_Rewards 16
Response_5_Reward_0_Type Teleport
Response_5_Reward_0_Spawnpoint Expedition_1_0

Response_5_Reward_1_Type Flag_Short
Response_5_Reward_1_ID 36306
Response_5_Reward_1_Value -1
Response_5_Reward_1_Modification Assign

Response_5_Reward_2_Type Flag_Bool
Response_5_Reward_2_ID 36307
Response_5_Reward_2_Value False

Response_5_Reward_3_Type Flag_Bool
Response_5_Reward_3_ID 36309
Response_5_Reward_3_Value False

Response_5_Reward_4_Type Flag_Bool
Response_5_Reward_4_ID 36330
Response_5_Reward_4_Value False

Response_5_Reward_5_Type Flag_Bool
Response_5_Reward_5_ID 36331
Response_5_Reward_5_Value False

Response_5_Reward_6_Type Flag_Bool
Response_5_Reward_6_ID 36332
Response_5_Reward_6_Value False

Response_5_Reward_7_Type Flag_Short
Response_5_Reward_7_ID 36303
Response_5_Reward_7_Value 0
Response_5_Reward_7_Modification Assign

Response_5_Reward_8_Type Flag_Short
Response_5_Reward_8_ID 36305
Response_5_Reward_8_Value 0
Response_5_Reward_8_Modification Assign

Response_5_Reward_9_Type Flag_Short
Response_5_Reward_9_ID 36327
Response_5_Reward_9_Value 0
Response_5_Reward_9_Modification Assign

Response_5_Reward_10_Type Flag_Short
Response_5_Reward_10_ID 36328
Response_5_Reward_10_Value 0
Response_5_Reward_10_Modification Assign

Response_5_Reward_11_Type Flag_Short
Response_5_Reward_11_ID 36329
Response_5_Reward_11_Value 0
Response_5_Reward_11_Modification Assign

Response_5_Reward_12_Type Flag_Bool
Response_5_Reward_12_ID 36308
Response_5_Reward_12_Value False

Response_5_Reward_13_Type Flag_Bool
Response_5_Reward_13_ID 36302
Response_5_Reward_13_Value False

Response_5_Reward_14_Type Flag_Short
Response_5_Reward_14_ID 36343
Response_5_Reward_14_Value 0
Response_5_Reward_14_Modification Assign

Response_5_Reward_15_Type Flag_Bool
Response_5_Reward_15_ID 36344
Response_5_Reward_15_Value False

Response_9_Dialogue 36385
Response_9_Quest 36382
Response_9_Conditions 1
Response_9_Condition_0_Type Quest
Response_9_Condition_0_ID 36382
Response_9_Condition_0_Status Ready
Response_9_Condition_0_Logic Equal
Response_9_Condition_0_Reset

Response_13_Conditions 2
Response_13_Condition_0_Type Quest
Response_13_Condition_0_Allow_Unset
Response_13_Condition_0_ID 36554
Response_13_Condition_0_Status None
Response_13_Condition_0_Logic Equal
Response_13_Condition_1_Type Quest
Response_13_Condition_1_ID 36382
Response_13_Condition_1_Status Completed
Response_13_Condition_1_Logic Equal
Response_13_Dialogue 36388

Response_2_Conditions 2
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Allow_Unset
Response_2_Condition_0_ID 36386
Response_2_Condition_0_Status None
Response_2_Condition_0_Logic Equal
Response_2_Condition_1_Type Quest
Response_2_Condition_1_ID 36554
Response_2_Condition_1_Status Completed
Response_2_Condition_1_Logic Equal
Response_2_Dialogue 36557

Response_6_Conditions 1
Response_6_Condition_0_Type Quest
Response_6_Condition_0_ID 36386
Response_6_Condition_0_Status Active
Response_6_Condition_0_Logic Equal
Response_6_Rewards 1
Response_6_Reward_0_Type Teleport
Response_6_Reward_0_Spawnpoint Expedition_2_0

Response_10_Dialogue 36389
Response_10_Quest 36386
Response_10_Conditions 1
Response_10_Condition_0_Type Quest
Response_10_Condition_0_ID 36386
Response_10_Condition_0_Status Ready
Response_10_Condition_0_Logic Equal
Response_10_Condition_0_Reset

Response_14_Conditions 2
Response_14_Condition_0_Type Quest
Response_14_Condition_0_Allow_Unset
Response_14_Condition_0_ID 36555
Response_14_Condition_0_Status None
Response_14_Condition_0_Logic Equal
Response_14_Condition_1_Type Quest
Response_14_Condition_1_ID 36386
Response_14_Condition_1_Status Completed
Response_14_Condition_1_Logic Equal
Response_14_Dialogue 36392

Response_3_Conditions 2
Response_3_Condition_0_Type Quest
Response_3_Condition_0_Allow_Unset
Response_3_Condition_0_ID 36390
Response_3_Condition_0_Status None
Response_3_Condition_0_Logic Equal
Response_3_Condition_1_Type Quest
Response_3_Condition_1_ID 36555
Response_3_Condition_1_Status Completed
Response_3_Condition_1_Logic Equal
Response_3_Dialogue 36558

Response_7_Conditions 1
Response_7_Condition_0_Type Quest
Response_7_Condition_0_ID 36390
Response_7_Condition_0_Status Active
Response_7_Condition_0_Logic Equal
Response_7_Rewards 2
Response_7_Reward_0_Type Teleport
Response_7_Reward_0_Spawnpoint Expedition_3_0
Response_7_Reward_1_Type Flag_Bool
Response_7_Reward_1_ID 36546
Response_7_Reward_1_Value False

Response_11_Dialogue 36393
Response_11_Quest 36390
Response_11_Conditions 1
Response_11_Condition_0_Type Quest
Response_11_Condition_0_ID 36390
Response_11_Condition_0_Status Ready
Response_11_Condition_0_Logic Equal
Response_11_Condition_0_Reset

Response_15_Dialogue 36389
Response_15_Quest 36552
Response_15_Conditions 1
Response_15_Condition_0_Type Quest
Response_15_Condition_0_ID 36552
Response_15_Condition_0_Status Ready
Response_15_Condition_0_Logic Equal
Response_15_Condition_0_Reset

Response_16_Dialogue 36389
Response_16_Quest 36554
Response_16_Conditions 1
Response_16_Condition_0_Type Quest
Response_16_Condition_0_ID 36554
Response_16_Condition_0_Status Ready
Response_16_Condition_0_Logic Equal
Response_16_Condition_0_Reset

Response_17_Dialogue 36389
Response_17_Quest 36555
Response_17_Conditions 1
Response_17_Condition_0_Type Quest
Response_17_Condition_0_ID 36555
Response_17_Condition_0_Status Ready
Response_17_Condition_0_Logic Equal
Response_17_Condition_0_Reset
