GUID 3b538cfcd2224ff3bcd90af981df56fc

Type Dialogue
ID 36045

Messages 2

Message_0_Pages 10
Message_0_Conditions 1
Message_0_Condition_0_Type Quest
Message_0_Condition_0_ID 36047
Message_0_Condition_0_Status None
Message_0_Condition_0_Logic Equal

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Quest
Message_1_Condition_0_ID 36047
Message_1_Condition_0_Status Active
Message_1_Condition_0_Logic Equal

Responses 3

Response_0_Quest 36047
Response_0_Rewards 2
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 36047
Response_0_Reward_1_Type Flag_Bool
Response_0_Reward_1_ID 36051
Response_0_Reward_1_Value True
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_ID 36047
Response_0_Condition_0_Status None
Response_0_Condition_0_Logic Equal
Response_0_Dialogue 36049

Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_ID 36047
Response_1_Condition_0_Status None
Response_1_Condition_0_Logic Equal

Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_ID 36047
Response_2_Condition_0_Status Active
Response_2_Condition_0_Logic Equal
