GUID 72c570a820e94a48929ce884b4354e7f

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 36309
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Interactability Quest
Interactability_Rewards 3
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 36306
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Decrement

Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 36309
Interactability_Reward_1_Value True

Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 36305
Interactability_Reward_2_Value 1
Interactability_Reward_2_Modification Increment

Interactability_Conditions 1
Interactability_Condition_0_Type Flag_Short
Interactability_Condition_0_ID 36306
Interactability_Condition_0_Value 1
Interactability_Condition_0_Logic Greater_Than_Or_Equal_To

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Keycard_Reader
