GUID 2e985d0cdf2c435a9e19d6de985f5a71

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 1
Condition_0_Type Flag_Short
Condition_0_ID 36022
Condition_0_Value 0
Condition_0_Logic Equal
Condition_0_Allow_Unset



Interactability_Conditions 1
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 36012
Interactability_Condition_0_Amount 1
Interactability_Condition_0_Reset



Interactability Quest
Interactability_Effect 7
Interactability_Rewards 1
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 36022
Interactability_Reward_0_Value 4
Interactability_Reward_0_Modification Assign


Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_NPC_Craft_Drive_Off
