GUID 63dab86e444c4aafbccfc59332c8ee8c

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 36308
Condition_0_Value True
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 3
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 36303
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Decrement
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 36304
Interactability_Reward_1_Value True
Interactability_Reward_2_Type Flag_Bool
Interactability_Reward_2_ID 36308
Interactability_Reward_2_Value False
