GUID 0c99c98fbf7b43a08aed69bec08a24ff

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 4
Condition_0_Type Flag_Bool
Condition_0_ID 36071
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Condition_1_Type Flag_Short
Condition_1_ID 36068
Condition_1_Value 0
Condition_1_Logic Equal
Condition_1_Allow_Unset
Condition_2_Type Flag_Short
Condition_2_ID 36069
Condition_2_Value 2
Condition_2_Logic Equal
Condition_3_Type Flag_Short
Condition_3_ID 36070
Condition_3_Value 1
Condition_3_Logic Equal


Interactability Quest
Interactability_Rewards 3
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 36071
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Item
Interactability_Reward_1_ID 36104
Interactability_Reward_1_Amount 1

Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 36172
Interactability_Reward_2_Value 1
Interactability_Reward_2_Modification Increment


Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Reward_Currency
