GUID 5453ba56484a45ed9d2ce708480f00b4

Type Vehicle
Has_Clip_Prefab false
ID 36046
Can_Be_Locked False
Can_Steal_Battery False
Speed_Min -12
Speed_Max 25

Steer_Min 14
Steer_Max 32

Brake 128

Fuel_Min 200
Fuel_Max 400
Fuel 1800

Health_Min 350
Health_Max 450
Health 800

Cam_Follow_Distance 9

Trunk_Storage_X 6
Trunk_Storage_Y 10

Bumper_Invulnerable
Tires_Invulnerable
Environment_Invulnerable

Explosion 20

IgnitionAudioClip core.masterbundle:Sounds/CarIgnition.mp3
HornAudioClip Sounds/Horn0.mp3

Physics_Profile 3e927d82f7f54282bb43afd62e036225
Wheel_Collider_Mass_Override 5

Drops_Table_ID 36123
Drops_Min 4
Drops_Max 6
