GUID a3ceaf3663d7449c8c0672e7c6a31471

Type Vehicle
Rarity Epic
Has_Clip_Prefab false
ID 36028
Can_Steal_Battery False
Speed_Min -17
Speed_Max 41

Steer_Min 24
Steer_Max 48

Brake 128

Fuel_Min 200
Fuel_Max 400
Fuel 2000

Health_Min 350
Health_Max 450
Health 900

Trunk_Storage_X 6
Trunk_Storage_Y 10

Bumper_Invulnerable
Tires_Invulnerable
Environment_Invulnerable

Explosion 20

IgnitionAudioClip core.masterbundle:Sounds/CarIgnition.mp3
HornAudioClip frost.masterbundle:Sounds/Horn1.wav

Physics_Profile 3e927d82f7f54282bb43afd62e036225
Wheel_Collider_Mass_Override 5

Drops_Table_ID 36123
Drops_Min 4
Drops_Max 6
