GUID ccd38aecdd4a49aaa7f050539e7443ed


Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 30550

Size_X 4
Size_Y 2

Magazine 36131
Grip 36554
Barrel 36144
Tactical 36448


Hook_Sight
Hook_Barrel
Hook_Tactical
Hook_Grip

Ammo_Min 3
Ammo_Max 16

Safety
Semi
Auto

Magazine_Calibers 1
Magazine_Caliber_0 36002

Attachment_Calibers 1
Attachment_Caliber_0 36013

Range 600
Firerate 6
Action Trigger

Gunshot_Rolloff_Distance 1000

Damage_Falloff_Range 0.5
Damage_Falloff_Multiplier 0

Player_Damage 45
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 300
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.1

Equipable_Movement_Speed_Multiplier 1.07
Aim_Duration_Multiplier 0.6
Aiming_Movement_Speed_Multiplier 1

Animal_Damage 59
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 80
Structure_Damage 80
Vehicle_Damage 80
Resource_Damage 80
Object_Damage 80

Durability 0.095

Spread_Aim 0.01
Spread_Hip 0.2

Recoil_Min_X 2.35
Recoil_Min_Y 5.95
Recoil_Max_X 5.75
Recoil_Max_Y 10.35

Recover_X 0.4
Recover_Y 0.4

Shake_Min_X -0.01
Shake_Min_Y 0.00075
Shake_Min_Z -0.045
Shake_Max_X -0.01
Shake_Max_Y 0.0005
Shake_Max_Z -0.1

Ballistic_Drop 0.0005

Muzzle 4

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 30550
//本物品ID
Blueprint_0_Build 27
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36011
//铁
Blueprint_0_Output_0_Amount 3
//Salvage
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 36011
Blueprint_1_Supply_0_Amount 4
Blueprint_1_Build 27
Blueprint_1_Tool 36090
Blueprint_1_Level 2
Blueprint_1_Skill Repair
//Repair
